id,empresa_id,nome,descricao,preco,imagem_url,ativo,created_at,updated_at
2226c6ef-1524-4a0c-8c23-212efb54d06c,a0000000-0000-0000-0000-000000000001,Recuperação Extrema,,190,,true,2026-03-12T20:28:46.301273+00:00,2026-03-12T20:28:43.486+00:00
f22bc0c5-edcd-4a7e-b6af-e732a20aafef,a0000000-0000-0000-0000-000000000001,Liso Supremo,,550,,true,2026-03-12T20:38:44.380931+00:00,2026-03-12T20:38:41.326+00:00
56f3c4a3-c089-49c4-8f60-6624996fe685,a0000000-0000-0000-0000-000000000001,Cachos dos Sonhos,,160,,true,2026-03-12T20:52:30.494834+00:00,2026-03-12T20:52:27.247+00:00
