id,venda_id,produto_id,nome_produto,quantidade,preco_original,preco_vendido,desconto,bonus,subtotal,created_at,custo_unitario,kit_id,item_type
d01ae8c6-6d7d-429d-86fe-6f214750fc7b,cf5e6243-9585-422c-96c6-36cd9430406c,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,1,30,35,0,false,35,2026-03-15T02:06:11.890493+00:00,18,,produto
cb6c4bcf-2494-4d26-9427-091cf965bcfc,cf5e6243-9585-422c-96c6-36cd9430406c,6b81407a-6dad-4bde-b300-9e27767cc754,Defrizante 1L,1,90,80,0,false,80,2026-03-15T02:06:11.890493+00:00,45,,produto
59f5a320-552d-4d3f-85a9-1adf955e7905,0a9591d6-824d-465f-82a7-04383f075a93,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T02:07:06.6085+00:00,65,,produto
bfdc9be2-2e88-4487-8e02-6358b9a5e918,0a9591d6-824d-465f-82a7-04383f075a93,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T02:07:06.6085+00:00,80,,produto
674b9f32-5d45-4974-b6d1-70ea574cce17,0a9591d6-824d-465f-82a7-04383f075a93,95d635ee-30e7-4c5a-b8bc-77475fc3f472,Shampoo 5L Arginina + Keratina,1,100,100,0,true,0,2026-03-15T02:07:06.6085+00:00,50,,produto
e5a9d8ce-1f13-4f93-8706-c12c1f404a1a,6bbc7f35-2fb0-4618-9807-5f6a1360424a,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,3,120,110,0,false,330,2026-03-15T02:11:48.82603+00:00,65,,produto
eca52f73-11ce-4372-a698-e2d09a9f993a,6bbc7f35-2fb0-4618-9807-5f6a1360424a,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,4,50,30,0,false,120,2026-03-15T02:11:48.82603+00:00,22,,produto
7c1e752e-67b2-4e65-a2c3-4ac91c1793ad,63aa8c02-a58b-4655-babb-fa48edea770d,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,0,false,400,2026-03-15T02:17:57.556503+00:00,140,,produto
1da3f1b1-237e-404f-a741-bb687a43ce84,63aa8c02-a58b-4655-babb-fa48edea770d,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,2,200,200,50,false,350,2026-03-15T02:17:57.556503+00:00,65,,produto
316777aa-665b-49f0-a82d-a54bccb581b7,63aa8c02-a58b-4655-babb-fa48edea770d,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,1,30,30,0,true,0,2026-03-15T02:17:57.556503+00:00,18,,produto
0a76d098-f2dc-4140-9849-40b683880107,49516110-9986-4ebe-8447-8bb2ab272578,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,1,120,120,10,false,110,2026-03-15T02:35:07.268464+00:00,65,,produto
520cd490-d132-4dee-958b-7fa9cba0b37e,49516110-9986-4ebe-8447-8bb2ab272578,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,0,false,400,2026-03-15T02:35:07.268464+00:00,140,,produto
f7d226e7-a5b1-4118-a3e6-5c57579dba60,49516110-9986-4ebe-8447-8bb2ab272578,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,1,50,50,0,false,50,2026-03-15T02:35:07.268464+00:00,22,,produto
656242dd-2e9c-44d8-91fa-44ef1d1ef100,49516110-9986-4ebe-8447-8bb2ab272578,95d635ee-30e7-4c5a-b8bc-77475fc3f472,Shampoo 5L Arginina + Keratina,1,100,100,20,false,80,2026-03-15T02:35:07.268464+00:00,50,,produto
c41a9942-795d-4ea7-aad8-b211f25bdc1d,49516110-9986-4ebe-8447-8bb2ab272578,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T02:35:07.268464+00:00,80,,produto
415f5ffd-545a-40ba-8851-eb325add7bcb,49516110-9986-4ebe-8447-8bb2ab272578,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,3,30,30,15,false,75,2026-03-15T02:35:07.268464+00:00,15,,produto
6a6d40d5-1631-42e9-a800-7dc2c6a9762f,49516110-9986-4ebe-8447-8bb2ab272578,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,3,40,40,15,false,105,2026-03-15T02:35:07.268464+00:00,21,,produto
70a59b62-eaeb-4a8f-95da-b0ea282162b1,49516110-9986-4ebe-8447-8bb2ab272578,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,6,30,30,0,false,180,2026-03-15T02:35:07.268464+00:00,18,,produto
5817bcac-9384-436f-82eb-15632ae233c2,e98b8220-d50b-426a-8945-55f3d1796a67,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,1,120,120,10,false,110,2026-03-15T02:41:16.571564+00:00,65,,produto
2081f192-0dcc-4754-99b5-6f2ac170cb83,e98b8220-d50b-426a-8945-55f3d1796a67,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T02:41:16.571564+00:00,65,,produto
0d43e53c-2616-4298-a4d3-942a4198af04,e98b8220-d50b-426a-8945-55f3d1796a67,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,1,50,50,0,true,0,2026-03-15T02:41:16.571564+00:00,22,,produto
